,M1_coef,M1_se,M1_p,M2_coef,M2_se,M2_p,M3_coef,M3_se,M3_p,M4_coef,M4_se,M4_p,M5_coef,M5_se,M5_p,M6_coef,M6_se,M6_p
POVRATIO97,,,,-0.002489175003503895,0.0022380462960055066,0.26604834321102366,-0.0018519113763853278,0.0022434702352638132,0.40910632531984503,-0.0013888897305839873,0.0021559057760883772,0.5194291411277443,-0.0014724249460361738,0.002151068080672975,0.49365395925686295,-0.0015415156645804439,0.0021552169952747742,0.474455521723815
ASVAB_SCORE,,,,,,,-0.0004777488529988497,0.000235150614731517,0.04218690108823426,-0.00021233670077760395,0.0002285078772314448,0.35276916404210457,-0.0001315574500174513,0.00023009090972561872,0.5674826023555848,-0.00012128784267810989,0.00022967534565647354,0.5974411337934676
EARLY_DESTROY,,,,,,,,,,0.04010395553385705,0.010803031934545806,0.00020539485412443897,0.03609463193229946,0.010940682183577655,0.0009698817191983299,0.036535051431099065,0.010927354561690614,0.0008274393574519763
EARLY_STEAL_UNDER,,,,,,,,,,0.004214858636062658,0.010283628107963657,0.6819078775078384,-0.004579744765940793,0.010943708164012144,0.6755947519381478,-0.0040368403434387886,0.01093955418385372,0.7121178553975607
EARLY_STEAL_OVER,,,,,,,,,,0.0022462488553338586,0.02071689973615312,0.9136578433735641,-0.009723956309334814,0.021103699537124106,0.6449634684741741,-0.010530610206185727,0.021120724622621802,0.6180673133757364
EARLY_OTHER_PROP,,,,,,,,,,0.04928458865207833,0.02186237332474685,0.024176609863454275,0.04269690017626887,0.021867062515722423,0.05087094893406077,0.043224636551466945,0.02187917222979945,0.048199353189562706
EARLY_GANG,,,,,,,,,,0.04099789998772048,0.00922733139389484,8.867443527468868e-06,0.037704010075123515,0.009224415601151646,4.362073573677452e-05,0.03745542190136883,0.009233708808179761,4.98393771173577e-05
EARLY_GUN,,,,,,,,,,0.05247903569134142,0.016317009995502906,0.0012989283034562135,0.046995640593063395,0.016348443996273648,0.004045080255505412,0.047555834690148825,0.016340254932760683,0.0036102607139373005
EARLY_RUNAWAY,,,,,,,,,,0.07453710101215938,0.0170710849911028,1.2638167252612005e-05,0.05922915619741781,0.017431909060418898,0.0006794408481782134,0.059592662889227446,0.0174146964993165,0.0006216793977334722
EARLY_SMOKING,,,,,,,,,,,,,0.0034253634109072755,0.005933460321615904,0.5637394583092317,0.0026020475736597726,0.005938308201762332,0.6612558438524293
EARLY_ALCOHOL,,,,,,,,,,,,,-0.0015649095051693766,0.00563443244322723,0.781211647591866,-0.0009304615533449454,0.005643463374131591,0.8690429936999848
EARLY_MARIJUANA,,,,,,,,,,,,,0.02241183794514315,0.010256141976583316,0.028873353059282944,0.02216205453571873,0.010267366893127197,0.030889408842681376
EARLY_HARD_DRUGS,,,,,,,,,,,,,-0.00929607774862028,0.018504824889379448,0.6154145418813536,-0.009969102567572127,0.01848320462367622,0.5896384263867518
EVER_ARR_BY17,,,,,,,,,,,,,0.07384121729849759,0.023265979352390772,0.0015046507839295872,0.0729816592621171,0.02330779682417091,0.0017408628460138928
FEMALE_x_BLACK,,,,,,,,,,,,,,,,-0.054783441935386805,0.03013220908913856,0.06904848187355901
FEMALE_x_HISPANIC,,,,,,,,,,,,,,,,-0.041976944998716355,0.028722601110881096,0.1438891269362201
