,Modelo 1_coef,Modelo 1_se,Modelo 1_p,Modelo 2_coef,Modelo 2_se,Modelo 2_p,Modelo 3_coef,Modelo 3_se,Modelo 3_p,Modelo 4_coef,Modelo 4_se,Modelo 4_p,Modelo 5_coef,Modelo 5_se,Modelo 5_p,Modelo 6_coef,Modelo 6_se,Modelo 6_p
PAR_ED_HS,,,,-0.03847790563213777,0.025691147546126576,0.13420844017083414,-0.020026897922073725,0.025771122889394853,0.4370961496991064,-0.020361586523920075,0.02339896139536514,0.3841955452692314,-0.018064982734361665,0.02278127921449662,0.42779244349328205,-0.017774904125762728,0.022804909723341992,0.43572456368529167
PAR_ED_SOME_COL,,,,-0.029354185976127788,0.02628968393556416,0.2641796308308062,0.004786686128793306,0.02669529808825302,0.8576957002921971,-0.0115131773242814,0.024118476507619627,0.6331063421977472,-0.005828675017276633,0.023499356610487198,0.8041069282645352,-0.005826538841897171,0.023510856851566377,0.8042711029745504
PAR_ED_COL,,,,-0.08374088728141554,0.02801835194692849,0.0028008727305654643,-0.02913915449277476,0.029051434609580366,0.31585146813240794,-0.0389453537209649,0.02624443363520267,0.13782292951031988,-0.026624990164363434,0.025627251860660224,0.2988360335144281,-0.026700023631141677,0.025617200630193057,0.2972868078211651
POVRATIO97,,,,-0.005280843117313325,0.0028040784551386267,0.05966348325263186,-0.002498179891318947,0.0027765081730325345,0.3682501138656402,-0.0022567757149229944,0.0025606148820886254,0.37813310480760365,-0.0025265900068839648,0.0025691399137763877,0.3253918795612596,-0.002557515047406014,0.0025706270612398494,0.3197852464709152
ASVAB_SCORE,,,,,,,-0.0020651922027386787,0.00029514490683220997,2.6110151195409253e-12,-0.0015875381759318458,0.0002729143779058301,5.991939158910332e-09,-0.0012822446521971072,0.0002696902511322196,1.98929550570376e-06,-0.0012755582363205592,0.0002695598290396413,2.2231383995234473e-06
EARLY_DESTROY,,,,,,,,,,0.11646717113742437,0.011999954456064246,2.8529583501916823e-22,0.10139999519088255,0.012073727241837338,4.5260178258469724e-17,0.10170288544196374,0.012079126902115732,3.773800701987043e-17
EARLY_STEAL_UNDER,,,,,,,,,,0.03950637536197124,0.012111877777062576,0.0011071197907118345,0.010436436905081314,0.012445160432156984,0.40169717706542685,0.010794263782392836,0.012448126308083503,0.38586550278764153
EARLY_STEAL_OVER,,,,,,,,,,0.04105721884518561,0.02141280887229824,0.05518536098694814,0.015130164975286724,0.021143803138431318,0.4742483218028163,0.01478598426797146,0.021191849812172845,0.48535211679364587
EARLY_OTHER_PROP,,,,,,,,,,0.07138923065949,0.02097691010152453,0.000665944178827556,0.054706500095755145,0.020777846142051814,0.008465316368415715,0.054976881592867136,0.020813747325626852,0.008257062436214952
EARLY_GANG,,,,,,,,,,0.07612604460986153,0.011094288704949573,6.803022836804858e-12,0.06690751842054385,0.01095568886525955,1.0145588094465812e-09,0.06679723780841208,0.010967659785761086,1.1264157966012634e-09
EARLY_GUN,,,,,,,,,,0.06276009375703792,0.01715670827914179,0.0002541416467399809,0.047377301454965395,0.01663738647987313,0.004404459850157567,0.047588705268147354,0.01664434958301009,0.004247768156686944
EARLY_RUNAWAY,,,,,,,,,,0.1375680742577891,0.017687894104986352,7.39559797590171e-15,0.09066911077450497,0.01808705821060022,5.360811074808064e-07,0.09096071819930403,0.01810773392492258,5.07890911060925e-07
EARLY_SMOKING,,,,,,,,,,,,,0.03203735915494056,0.007317674940521352,1.1972994119036207e-05,0.03155768434734391,0.0073060946177200495,1.5647928340015003e-05
EARLY_ALCOHOL,,,,,,,,,,,,,0.007984208889138693,0.007286344504181041,0.27317636608999385,0.008354939030867023,0.007286369387848737,0.2515249652996753
EARLY_MARIJUANA,,,,,,,,,,,,,0.01735914390569404,0.011786729544369663,0.14081301307141397,0.017120205436510584,0.011784165369513341,0.1462752857266591
EARLY_HARD_DRUGS,,,,,,,,,,,,,0.029053787237124193,0.01948724183384247,0.1359842697409835,0.028633868540960228,0.01950123201707156,0.14201983314667757
EVER_ARR_BY17,,,,,,,,,,,,,0.1716738528124714,0.02447824880716948,2.3272418484459473e-12,0.17120443368896213,0.024524142522017973,2.9296767626165257e-12
FEMALE_x_BLACK,,,,,,,,,,,,,,,,-0.03584645305052612,0.034723951396471914,0.30191922003777305
FEMALE_x_HISPANIC,,,,,,,,,,,,,,,,-0.016935537887204883,0.03379494544922189,0.616282198640727
