EVER_ASSAULT,FEMALE,RACE_BLACK,RACE_HISPANIC,RACE_MIXED,BIOMOMAGE,NUMSIBS,FAM_ONE_PARENT,FAM_BIO_STEP,FAM_OTHER,PAR_ED_HS,PAR_ED_SOME_COL,PAR_ED_COL,POVRATIO97,ASVAB_SCORE,EARLY_DESTROY,EARLY_STEAL_UNDER,EARLY_STEAL_OVER,EARLY_OTHER_PROP,EARLY_GANG,EARLY_GUN,EARLY_RUNAWAY,EARLY_SMOKING,EARLY_ALCOHOL,EARLY_MARIJUANA,EARLY_HARD_DRUGS,EVER_ARR_BY17
0,1,0,0,0,39.0,0,0,0,0,0.0,1.0,0.0,2.7699999809265137,42.347999572753906,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0
1,0,0,1,0,30.0,2,0,0,0,0.0,0.0,1.0,2.509999990463257,79.9489974975586,1.0,2.0,0.0,1.0,2.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0
1,0,0,1,0,17.0,3,1,0,0,0.0,0.0,0.0,0.3199999928474426,4.250999927520752,1.0,0.0,0.0,1.0,2.0,1.0,0.0,3.0,1.0,1.0,1.0,1.0
0,1,0,0,0,26.0,2,0,0,0,1.0,0.0,0.0,2.549999952316284,50.16899871826172,1.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0
0,1,0,0,0,30.0,2,0,0,0,0.0,0.0,1.0,1.600000023841858,75.58200073242188,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,1.0,0.0,0.0
1,1,0,0,0,32.0,2,0,0,0,0.0,0.0,1.0,1.600000023841858,61.53300094604492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
0,1,0,1,0,26.0,1,0,0,0,1.0,0.0,0.0,3.390000104904175,87.96700286865234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,0,0,0,33.0,0,0,0,0,0.0,0.0,1.0,9.479999542236328,98.68699645996094,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,0,0,0,26.0,1,0,0,0,0.0,0.0,1.0,7.019999980926514,100.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
0,1,0,0,0,28.0,1,0,0,0,0.0,0.0,1.0,7.019999980926514,98.19599914550781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0
0,0,0,0,0,52.0,1,0,0,0,0.0,0.0,1.0,3.7699999809265137,79.42900085449219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,1.0,0.0,0.0
1,0,1,0,0,26.0,1,0,1,0,1.0,0.0,0.0,5.619999885559082,7.809999942779541,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1,0,0,1,0,24.0,3,0,0,0,0.0,1.0,0.0,3.5999999046325684,85.8280029296875,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,2.0,1.0,0.0
1,1,0,1,0,36.0,1,1,0,0,0.0,1.0,0.0,0.23999999463558197,55.48400115966797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
